Start of Interval (UTC-08:00),End of Interval (UTC-08:00),Average (°F)
2013-08-01 00:00:00,2013-09-01 00:00:00,NaN
2013-09-01 00:00:00,2013-10-01 00:00:00,38.013375
2013-10-01 00:00:00,2013-11-01 00:00:00,32.57034946236559
2013-11-01 00:00:00,2013-12-01 00:00:00,10.181749999999997
2013-12-01 00:00:00,2014-01-01 00:00:00,2.2056720430107526
2014-01-01 00:00:00,2014-02-01 00:00:00,16.54407258064516
2014-02-01 00:00:00,2014-03-01 00:00:00,-0.8289583333333334
2014-03-01 00:00:00,2014-04-01 00:00:00,12.636370967741936
2014-04-01 00:00:00,2014-05-01 00:00:00,29.72163888888889
2014-05-01 00:00:00,2014-06-01 00:00:00,46.42020161290323
2014-06-01 00:00:00,2014-07-01 00:00:00,50.724333333333334
2014-07-01 00:00:00,2014-08-01 00:00:00,54.958037634408605
2014-08-01 00:00:00,2014-09-01 00:00:00,53.00200268817204
2014-09-01 00:00:00,2014-10-01 00:00:00,41.765347222222225
2014-10-01 00:00:00,2014-11-01 00:00:00,18.502056451612905
2014-11-01 00:00:00,2014-12-01 00:00:00,16.822152777777777
2014-12-01 00:00:00,2015-01-01 00:00:00,9.393561827956988
2015-01-01 00:00:00,2015-02-01 00:00:00,0.39465053763440905
2015-02-01 00:00:00,2015-03-01 00:00:00,7.777812499999999
2015-03-01 00:00:00,2015-04-01 00:00:00,15.962741935483871
2015-04-01 00:00:00,2015-05-01 00:00:00,31.923375
2015-05-01 00:00:00,2015-06-01 00:00:00,51.1127688172043
2015-06-01 00:00:00,2015-07-01 00:00:00,55.48504166666667
2015-07-01 00:00:00,2015-08-01 00:00:00,56.75200268817204
2015-08-01 00:00:00,2015-09-01 00:00:00,50.026940537234
2015-09-01 00:00:00,2015-10-01 00:00:00,37.98459722222222
2015-10-01 00:00:00,2015-11-01 00:00:00,27.361975806451614
2015-11-01 00:00:00,2015-12-01 00:00:00,14.431444444444441
2015-12-01 00:00:00,2016-01-01 00:00:00,2.6401344086021505
2016-01-01 00:00:00,2016-02-01 00:00:00,12.440860215053764
2016-02-01 00:00:00,2016-03-01 00:00:00,15.304152298850573
2016-03-01 00:00:00,2016-04-01 00:00:00,15.765107526881723
2016-04-01 00:00:00,2016-05-01 00:00:00,35.610597222222225
2016-05-01 00:00:00,2016-06-01 00:00:00,46.87575268817204
2016-06-01 00:00:00,2016-07-01 00:00:00,54.72598611111111
2016-07-01 00:00:00,2016-08-01 00:00:00,56.72879032258064
2016-08-01 00:00:00,2016-09-01 00:00:00,54.987997311827954
2016-09-01 00:00:00,2016-10-01 00:00:00,43.08223611111111
2016-10-01 00:00:00,2016-11-01 00:00:00,24.91290188172043
2016-11-01 00:00:00,2016-12-01 00:00:00,5.41862638888889
2016-12-01 00:00:00,2017-01-01 00:00:00,1.5742634408602167
2017-01-01 00:00:00,2017-02-01 00:00:00,3.015280913978494
2017-02-01 00:00:00,2017-03-01 00:00:00,7.640434523809524
2017-03-01 00:00:00,2017-04-01 00:00:00,-1.649586021505377
2017-04-01 00:00:00,2017-05-01 00:00:00,29.852666666666668
2017-05-01 00:00:00,2017-06-01 00:00:00,44.4814247311828
2017-06-01 00:00:00,2017-07-01 00:00:00,56.445708333333336
2017-07-01 00:00:00,2017-08-01 00:00:00,60.21043010752688
2017-08-01 00:00:00,2017-09-01 00:00:00,52.33546501367737
2017-09-01 00:00:00,2017-10-01 00:00:00,42.237569444444446
2017-10-01 00:00:00,2017-11-01 00:00:00,29.422614247311827
2017-11-01 00:00:00,2017-12-01 00:00:00,11.904736111111111
2017-12-01 00:00:00,2018-01-01 00:00:00,20.933087365591398
2018-01-01 00:00:00,2018-02-01 00:00:00,-0.47950537634408574
2018-02-01 00:00:00,2018-03-01 00:00:00,10.620191964285715
2018-03-01 00:00:00,2018-04-01 00:00:00,15.855271505376344
2018-04-01 00:00:00,2018-05-01 00:00:00,26.00357361111111
2018-05-01 00:00:00,2018-06-01 00:00:00,42.874596774193556
2018-06-01 00:00:00,2018-07-01 00:00:00,53.41598611111111
2018-07-01 00:00:00,2018-08-01 00:00:00,59.92018817204301
2018-08-01 00:00:00,2018-09-01 00:00:00,51.42013440860215
2018-09-01 00:00:00,2018-10-01 00:00:00,44.12766666666667
2018-10-01 00:00:00,2018-11-01 00:00:00,32.56533198924731
2018-11-01 00:00:00,2018-12-01 00:00:00,11.793269444444444
2018-12-01 00:00:00,2019-01-01 00:00:00,4.004997311827957
2019-01-01 00:00:00,2019-02-01 00:00:00,0.7875430107526874
2019-02-01 00:00:00,2019-03-01 00:00:00,13.653659226190475
2019-03-01 00:00:00,2019-04-01 00:00:00,28.533513440860215
2019-04-01 00:00:00,2019-05-01 00:00:00,31.448616666666666
2019-05-01 00:00:00,2019-06-01 00:00:00,47.452217741935485
2019-06-01 00:00:00,2019-07-01 00:00:00,58.17740277777778
2019-07-01 00:00:00,2019-08-01 00:00:00,60.74674731182796
2019-08-01 00:00:00,2019-09-01 00:00:00,52.26412634408602
2019-09-01 00:00:00,2019-10-01 00:00:00,43.64704166666667
2019-10-01 00:00:00,2019-11-01 00:00:00,26.245604838709678
2019-11-01 00:00:00,2019-12-01 00:00:00,12.632566666666667
2019-12-01 00:00:00,2020-01-01 00:00:00,0.10369892473118417
2020-01-01 00:00:00,2020-02-01 00:00:00,-13.095842741935483
2020-02-01 00:00:00,2020-03-01 00:00:00,0.1977887931034466
2020-03-01 00:00:00,2020-04-01 00:00:00,10.504120967741937
2020-04-01 00:00:00,2020-05-01 00:00:00,29.782619444444446
2020-05-01 00:00:00,2020-06-01 00:00:00,48.33987903225807
2020-06-01 00:00:00,2020-07-01 00:00:00,53.340583333333335
2020-07-01 00:00:00,2020-08-01 00:00:00,55.30878674680997
2020-08-01 00:00:00,2020-09-01 00:00:00,53.09123655913979
2020-09-01 00:00:00,2020-10-01 00:00:00,42.573347222222225
2020-10-01 00:00:00,2020-11-01 00:00:00,26.072637096774194
2020-11-01 00:00:00,2020-12-01 00:00:00,10.052670833333334
2020-12-01 00:00:00,2021-01-01 00:00:00,4.454573924731183
2021-01-01 00:00:00,2021-02-01 00:00:00,9.09824059139785
2021-02-01 00:00:00,2021-03-01 00:00:00,-4.32806994047619
2021-03-01 00:00:00,2021-04-01 00:00:00,7.121368279569892
2021-04-01 00:00:00,2021-05-01 00:00:00,24.526979166666667
2021-05-01 00:00:00,2021-06-01 00:00:00,44.689435483870966
2021-06-01 00:00:00,2021-07-01 00:00:00,55.24043978627368
2021-07-01 00:00:00,2021-08-01 00:00:00,58.42068548387097
2021-08-01 00:00:00,2021-09-01 00:00:00,50.85220430107527
2021-09-01 00:00:00,2021-10-01 00:00:00,37.417208333333335
2021-10-01 00:00:00,2021-11-01 00:00:00,23.702403225806453
2021-11-01 00:00:00,2021-12-01 00:00:00,-3.826197222222222
2021-12-01 00:00:00,2022-01-01 00:00:00,7.708905913978494
2022-01-01 00:00:00,2022-02-01 00:00:00,-4.0371747311827955
2022-02-01 00:00:00,2022-03-01 00:00:00,2.14617857142857
2022-03-01 00:00:00,2022-04-01 00:00:00,11.177467741935484
2022-04-01 00:00:00,2022-05-01 00:00:00,24.177931944444445
2022-05-01 00:00:00,2022-06-01 00:00:00,44.21943548387097
2022-06-01 00:00:00,2022-07-01 00:00:00,56.61281944444445
2022-07-01 00:00:00,2022-08-01 00:00:00,56.81008064516129
2022-08-01 00:00:00,2022-09-01 00:00:00,52.61295698924731
2022-09-01 00:00:00,2022-10-01 00:00:00,42.39711111111111
2022-10-01 00:00:00,2022-11-01 00:00:00,23.198086021505375
2022-11-01 00:00:00,2022-12-01 00:00:00,13.260940277777777
2022-12-01 00:00:00,2023-01-01 00:00:00,1.0710040322580645
2023-01-01 00:00:00,2023-02-01 00:00:00,3.339100806451613
2023-02-01 00:00:00,2023-03-01 00:00:00,2.5118303571428577
2023-03-01 00:00:00,2023-04-01 00:00:00,12.26206317204301
2023-04-01 00:00:00,2023-05-01 00:00:00,15.9062
2023-05-01 00:00:00,2023-06-01 00:00:00,44.10779569892473
2023-06-01 00:00:00,2023-07-01 00:00:00,54.10530437633862
2023-07-01 00:00:00,2023-08-01 00:00:00,60.43470430107527
2023-08-01 00:00:00,2023-09-01 00:00:00,55.29379032258065
2023-09-01 00:00:00,2023-10-01 00:00:00,39.283097222222224
2023-10-01 00:00:00,2023-11-01 00:00:00,23.947997311827958
2023-11-01 00:00:00,2023-12-01 00:00:00,16.280168055555556
2023-12-01 00:00:00,2024-01-01 00:00:00,1.3894395161290332
2024-01-01 00:00:00,2024-02-01 00:00:00,-6.819635752688172
2024-02-01 00:00:00,2024-03-01 00:00:00,11.03562356321839
2024-03-01 00:00:00,2024-04-01 00:00:00,12.152368279569892
2024-04-01 00:00:00,2024-05-01 00:00:00,31.026263888888888
2024-05-01 00:00:00,2024-06-01 00:00:00,44.09815860215054
2024-06-01 00:00:00,2024-07-01 00:00:00,58.579625
2024-07-01 00:00:00,2024-08-01 00:00:00,56.27121376115088
2024-08-01 00:00:00,2024-09-01 00:00:00,51.457715053763444
2024-09-01 00:00:00,2024-10-01 00:00:00,41.573430555555554
2024-10-01 00:00:00,2024-11-01 00:00:00,24.208907258064517
2024-11-01 00:00:00,2024-12-01 00:00:00,6.633325
2024-12-01 00:00:00,2025-01-01 00:00:00,5.700666666666666
2025-01-01 00:00:00,2025-02-01 00:00:00,12.810188172043011
2025-02-01 00:00:00,2025-03-01 00:00:00,7.720046130952381
2025-03-01 00:00:00,2025-04-01 00:00:00,15.162217741935484
2025-04-01 00:00:00,2025-05-01 00:00:00,31.249431944444446
2025-05-01 00:00:00,2025-06-01 00:00:00,43.34084677419355
2025-06-01 00:00:00,2025-07-01 00:00:00,55.401944444444446
2025-07-01 00:00:00,2025-08-01 00:00:00,58.2217876344086
2025-08-01 00:00:00,2025-09-01 00:00:00,53.47075268817204
2025-09-01 00:00:00,2025-10-01 00:00:00,40.485194444444446
2025-10-01 00:00:00,2025-11-01 00:00:00,29.709889784946238
2025-11-01 00:00:00,2025-12-01 00:00:00,10.521151388888889
2025-12-01 00:00:00,2026-01-01 00:00:00,-10.93994758064516
2026-01-01 00:00:00,2026-02-01 00:00:00,-6.292125
2026-02-01 00:00:00,2026-03-01 00:00:00,-1.7230267857142851
2026-03-01 00:00:00,2026-04-01 00:00:00,-6.91411559139785
2026-04-01 00:00:00,2026-05-01 00:00:00,27.86974861111111
2026-05-01 00:00:00,2026-06-01 00:00:00,41.55127688172043
2026-06-01 00:00:00,2026-07-01 00:00:00,NaN
