Start of Interval (UTC-08:00),End of Interval (UTC-08:00),Average (in)
2013-08-01 00:00:00,2013-09-01 00:00:00,NaN
2013-09-01 00:00:00,2013-10-01 00:00:00,1.0615062761506275
2013-10-01 00:00:00,2013-11-01 00:00:00,1.4110577956989248
2013-11-01 00:00:00,2013-12-01 00:00:00,3.152506963788301
2013-12-01 00:00:00,2014-01-01 00:00:00,6.579368279569892
2014-01-01 00:00:00,2014-02-01 00:00:00,4.675539083557951
2014-02-01 00:00:00,2014-03-01 00:00:00,1.8108955223880596
2014-03-01 00:00:00,2014-04-01 00:00:00,3.334774193548387
2014-04-01 00:00:00,2014-05-01 00:00:00,2.3355555555555556
2014-05-01 00:00:00,2014-06-01 00:00:00,0.7421370967741936
2014-06-01 00:00:00,2014-07-01 00:00:00,0.692108938547486
2014-07-01 00:00:00,2014-08-01 00:00:00,1.0593413978494624
2014-08-01 00:00:00,2014-09-01 00:00:00,0.8450940860215054
2014-09-01 00:00:00,2014-10-01 00:00:00,0.653840782122905
2014-10-01 00:00:00,2014-11-01 00:00:00,4.563172043010753
2014-11-01 00:00:00,2014-12-01 00:00:00,2.899326388888889
2014-12-01 00:00:00,2015-01-01 00:00:00,5.880858870967742
2015-01-01 00:00:00,2015-02-01 00:00:00,9.257016129032259
2015-02-01 00:00:00,2015-03-01 00:00:00,9.141152529761905
2015-03-01 00:00:00,2015-04-01 00:00:00,7.667460349462366
2015-04-01 00:00:00,2015-05-01 00:00:00,3.0645870473537604
2015-05-01 00:00:00,2015-06-01 00:00:00,0.8617305107526881
2015-06-01 00:00:00,2015-07-01 00:00:00,1.3499618055555556
2015-07-01 00:00:00,2015-08-01 00:00:00,1.9856572580645162
2015-08-01 00:00:00,2015-09-01 00:00:00,0.7753952702702702
2015-09-01 00:00:00,2015-10-01 00:00:00,0.7328277777777777
2015-10-01 00:00:00,2015-11-01 00:00:00,1.2071695945945946
2015-11-01 00:00:00,2015-12-01 00:00:00,8.582910739191075
2015-12-01 00:00:00,2016-01-01 00:00:00,NaN
2016-01-01 00:00:00,2016-02-01 00:00:00,7.047653225806451
2016-02-01 00:00:00,2016-03-01 00:00:00,7.169773706896552
2016-03-01 00:00:00,2016-04-01 00:00:00,7.042717069892473
2016-04-01 00:00:00,2016-05-01 00:00:00,1.5450638888888888
2016-05-01 00:00:00,2016-06-01 00:00:00,0.002431451612903226
2016-06-01 00:00:00,2016-07-01 00:00:00,0.7069625
2016-07-01 00:00:00,2016-08-01 00:00:00,0.6919616935483871
2016-08-01 00:00:00,2016-09-01 00:00:00,0.2970040927694407
2016-09-01 00:00:00,2016-10-01 00:00:00,0.17753642857142857
2016-10-01 00:00:00,2016-11-01 00:00:00,0.4847022849462366
2016-11-01 00:00:00,2016-12-01 00:00:00,1.3463455056179776
2016-12-01 00:00:00,2017-01-01 00:00:00,4.338271505376344
2017-01-01 00:00:00,2017-02-01 00:00:00,5.622335349462365
2017-02-01 00:00:00,2017-03-01 00:00:00,8.00470238095238
2017-03-01 00:00:00,2017-04-01 00:00:00,11.089731182795699
2017-04-01 00:00:00,2017-05-01 00:00:00,7.071226388888889
2017-05-01 00:00:00,2017-06-01 00:00:00,0.01044758064516129
2017-06-01 00:00:00,2017-07-01 00:00:00,0.5027652777777778
2017-07-01 00:00:00,2017-08-01 00:00:00,1.3493729838709678
2017-08-01 00:00:00,2017-09-01 00:00:00,1.226998643147897
2017-09-01 00:00:00,2017-10-01 00:00:00,1.117231311706629
2017-10-01 00:00:00,2017-11-01 00:00:00,0.9850803814713897
2017-11-01 00:00:00,2017-12-01 00:00:00,6.400589583333334
2017-12-01 00:00:00,2018-01-01 00:00:00,10.017351752021563
2018-01-01 00:00:00,2018-02-01 00:00:00,9.593278532608696
2018-02-01 00:00:00,2018-03-01 00:00:00,14.570171130952382
2018-03-01 00:00:00,2018-04-01 00:00:00,21.43668682795699
2018-04-01 00:00:00,2018-05-01 00:00:00,19.84686111111111
2018-05-01 00:00:00,2018-06-01 00:00:00,4.012166666666666
2018-06-01 00:00:00,2018-07-01 00:00:00,0.593072027972028
2018-07-01 00:00:00,2018-08-01 00:00:00,1.563467654986523
2018-08-01 00:00:00,2018-09-01 00:00:00,1.0847246963562753
2018-09-01 00:00:00,2018-10-01 00:00:00,0.7843133140376266
2018-10-01 00:00:00,2018-11-01 00:00:00,0.8146098382749326
2018-11-01 00:00:00,2018-12-01 00:00:00,4.4824322033898305
2018-12-01 00:00:00,2019-01-01 00:00:00,11.471514112903225
2019-01-01 00:00:00,2019-02-01 00:00:00,10.018427419354838
2019-02-01 00:00:00,2019-03-01 00:00:00,13.226111940298507
2019-03-01 00:00:00,2019-04-01 00:00:00,9.823048780487804
2019-04-01 00:00:00,2019-05-01 00:00:00,0.15608774373259052
2019-05-01 00:00:00,2019-06-01 00:00:00,0.33517857142857144
2019-06-01 00:00:00,2019-07-01 00:00:00,1.8502972222222223
2019-07-01 00:00:00,2019-08-01 00:00:00,2.6104121338912134
2019-08-01 00:00:00,2019-09-01 00:00:00,0.7504381868131869
2019-09-01 00:00:00,2019-10-01 00:00:00,0.033372727272727276
2019-10-01 00:00:00,2019-11-01 00:00:00,5.38989608636977
2019-11-01 00:00:00,2019-12-01 00:00:00,10.36368888888889
2019-12-01 00:00:00,2020-01-01 00:00:00,12.713515519568151
2020-01-01 00:00:00,2020-02-01 00:00:00,14.871720430107526
2020-02-01 00:00:00,2020-03-01 00:00:00,16.271233766233767
2020-03-01 00:00:00,2020-04-01 00:00:00,17.97720430107527
2020-04-01 00:00:00,2020-05-01 00:00:00,8.970947222222222
2020-05-01 00:00:00,2020-06-01 00:00:00,0.03517741935483871
2020-06-01 00:00:00,2020-07-01 00:00:00,0.8897479166666666
2020-07-01 00:00:00,2020-08-01 00:00:00,2.6960527740189444
2020-08-01 00:00:00,2020-09-01 00:00:00,1.663008108108108
2020-09-01 00:00:00,2020-10-01 00:00:00,1.5410998552821997
2020-10-01 00:00:00,2020-11-01 00:00:00,2.995799046321526
2020-11-01 00:00:00,2020-12-01 00:00:00,10.006358333333333
2020-12-01 00:00:00,2021-01-01 00:00:00,9.915423387096775
2021-01-01 00:00:00,2021-02-01 00:00:00,10.799001349527666
2021-02-01 00:00:00,2021-03-01 00:00:00,16.751666666666665
2021-03-01 00:00:00,2021-04-01 00:00:00,22.372862903225805
2021-04-01 00:00:00,2021-05-01 00:00:00,24.95553472222222
2021-05-01 00:00:00,2021-06-01 00:00:00,1.9286465053763442
2021-06-01 00:00:00,2021-07-01 00:00:00,0.8154888579387186
2021-07-01 00:00:00,2021-08-01 00:00:00,1.831656462585034
2021-08-01 00:00:00,2021-09-01 00:00:00,2.646210164835165
2021-09-01 00:00:00,2021-10-01 00:00:00,2.326230440967283
2021-10-01 00:00:00,2021-11-01 00:00:00,10.70784604904632
2021-11-01 00:00:00,2021-12-01 00:00:00,9.493157263751764
2021-12-01 00:00:00,2022-01-01 00:00:00,15.375736325385695
2022-01-01 00:00:00,2022-02-01 00:00:00,14.215549525101764
2022-02-01 00:00:00,2022-03-01 00:00:00,21.434761904761906
2022-03-01 00:00:00,2022-04-01 00:00:00,22.244065860215052
2022-04-01 00:00:00,2022-05-01 00:00:00,21.958875
2022-05-01 00:00:00,2022-06-01 00:00:00,1.9173378561736771
2022-06-01 00:00:00,2022-07-01 00:00:00,1.1834579242636747
2022-07-01 00:00:00,2022-08-01 00:00:00,2.2482159559834938
2022-08-01 00:00:00,2022-09-01 00:00:00,2.533962121212121
2022-09-01 00:00:00,2022-10-01 00:00:00,1.8382861445783132
2022-10-01 00:00:00,2022-11-01 00:00:00,2.321758164852255
2022-11-01 00:00:00,2022-12-01 00:00:00,10.45533850931677
2022-12-01 00:00:00,2023-01-01 00:00:00,20.27081955922865
2023-01-01 00:00:00,2023-02-01 00:00:00,21.141332882273343
2023-02-01 00:00:00,2023-03-01 00:00:00,27.791361607142857
2023-03-01 00:00:00,2023-04-01 00:00:00,32.126229281767955
2023-04-01 00:00:00,2023-05-01 00:00:00,36.20282638888889
2023-05-01 00:00:00,2023-06-01 00:00:00,11.470386424731183
2023-06-01 00:00:00,2023-07-01 00:00:00,1.7726993817619783
