Start of Interval (UTC-08:00),End of Interval (UTC-08:00),Average (°F)
2013-08-01 00:00:00,2013-09-01 00:00:00,NaN
2013-09-01 00:00:00,2013-10-01 00:00:00,35.283541666666665
2013-10-01 00:00:00,2013-11-01 00:00:00,31.745793010752685
2013-11-01 00:00:00,2013-12-01 00:00:00,29.733333333333327
2013-12-01 00:00:00,2014-01-01 00:00:00,25.78360215053763
2014-01-01 00:00:00,2014-02-01 00:00:00,24.517473118279575
2014-02-01 00:00:00,2014-03-01 00:00:00,14.930059523809524
2014-03-01 00:00:00,2014-04-01 00:00:00,15.336680107526885
2014-04-01 00:00:00,2014-05-01 00:00:00,26.173458333333333
2014-05-01 00:00:00,2014-06-01 00:00:00,34.010486825963305
2014-06-01 00:00:00,2014-07-01 00:00:00,39.217777777777776
2014-07-01 00:00:00,2014-08-01 00:00:00,43.31989247311828
2014-08-01 00:00:00,2014-09-01 00:00:00,42.5994623655914
2014-09-01 00:00:00,2014-10-01 00:00:00,35.831944444444446
2014-10-01 00:00:00,2014-11-01 00:00:00,30.999999999999996
2014-11-01 00:00:00,2014-12-01 00:00:00,29.22548611111111
2014-12-01 00:00:00,2015-01-01 00:00:00,29.069368279569893
2015-01-01 00:00:00,2015-02-01 00:00:00,27.76327956989247
2015-02-01 00:00:00,2015-03-01 00:00:00,23.317410714285714
2015-03-01 00:00:00,2015-04-01 00:00:00,20.609771505376344
2015-04-01 00:00:00,2015-05-01 00:00:00,29.42163888888889
2015-05-01 00:00:00,2015-06-01 00:00:00,35.56106182795699
2015-06-01 00:00:00,2015-07-01 00:00:00,42.60715277777778
2015-07-01 00:00:00,2015-08-01 00:00:00,44.753642473118276
2015-08-01 00:00:00,2015-09-01 00:00:00,42.7974120592198
2015-09-01 00:00:00,2015-10-01 00:00:00,35.641305555555554
2015-10-01 00:00:00,2015-11-01 00:00:00,31.777405913978495
2015-11-01 00:00:00,2015-12-01 00:00:00,31.202222222222222
2015-12-01 00:00:00,2016-01-01 00:00:00,27.89013440860215
2016-01-01 00:00:00,2016-02-01 00:00:00,24.76
2016-02-01 00:00:00,2016-03-01 00:00:00,19.62896551724138
2016-03-01 00:00:00,2016-04-01 00:00:00,19.263790322580647
2016-04-01 00:00:00,2016-05-01 00:00:00,30.327055555555557
2016-05-01 00:00:00,2016-06-01 00:00:00,34.96779569892473
2016-06-01 00:00:00,2016-07-01 00:00:00,41.869416666666666
2016-07-01 00:00:00,2016-08-01 00:00:00,43.386868279569896
2016-08-01 00:00:00,2016-09-01 00:00:00,44.45872311827957
2016-09-01 00:00:00,2016-10-01 00:00:00,38.100027777777775
2016-10-01 00:00:00,2016-11-01 00:00:00,31.089475806451613
2016-11-01 00:00:00,2016-12-01 00:00:00,27.59109722222222
2016-12-01 00:00:00,2017-01-01 00:00:00,26.372970430107525
2017-01-01 00:00:00,2017-02-01 00:00:00,22.223279569892473
2017-02-01 00:00:00,2017-03-01 00:00:00,19.683377976190478
2017-03-01 00:00:00,2017-04-01 00:00:00,16.385362903225808
2017-04-01 00:00:00,2017-05-01 00:00:00,24.945652777777777
2017-05-01 00:00:00,2017-06-01 00:00:00,33.62969086021506
2017-06-01 00:00:00,2017-07-01 00:00:00,42.77101388888889
2017-07-01 00:00:00,2017-08-01 00:00:00,45.45134408602151
2017-08-01 00:00:00,2017-09-01 00:00:00,44.15230555469244
2017-09-01 00:00:00,2017-10-01 00:00:00,37.63856944444444
2017-10-01 00:00:00,2017-11-01 00:00:00,32.78165322580645
2017-11-01 00:00:00,2017-12-01 00:00:00,31.02473611111111
