Start of Interval (UTC-08:00),End of Interval (UTC-08:00),Average (W/m^2)
2013-08-01 00:00:00,2013-09-01 00:00:00,NaN
2013-09-01 00:00:00,2013-10-01 00:00:00,82.98509861111111
2013-10-01 00:00:00,2013-11-01 00:00:00,46.321037634408604
2013-11-01 00:00:00,2013-12-01 00:00:00,11.1625
2013-12-01 00:00:00,2014-01-01 00:00:00,3.2836021505376345
2014-01-01 00:00:00,2014-02-01 00:00:00,9.420698924731182
2014-02-01 00:00:00,2014-03-01 00:00:00,25.4375
2014-03-01 00:00:00,2014-04-01 00:00:00,124.5595497311828
2014-04-01 00:00:00,2014-05-01 00:00:00,205.20277777777778
2014-05-01 00:00:00,2014-06-01 00:00:00,208.93413978494624
2014-06-01 00:00:00,2014-07-01 00:00:00,186.5861111111111
2014-07-01 00:00:00,2014-08-01 00:00:00,149.8252688172043
2014-08-01 00:00:00,2014-09-01 00:00:00,120.1774193548387
2014-09-01 00:00:00,2014-10-01 00:00:00,89.87638888888888
2014-10-01 00:00:00,2014-11-01 00:00:00,37.403225806451616
2014-11-01 00:00:00,2014-12-01 00:00:00,10.878530555555555
2014-12-01 00:00:00,2015-01-01 00:00:00,1.9595241935483871
2015-01-01 00:00:00,2015-02-01 00:00:00,8.176854838709678
2015-02-01 00:00:00,2015-03-01 00:00:00,50.161400297619046
2015-03-01 00:00:00,2015-04-01 00:00:00,106.25186155913978
2015-04-01 00:00:00,2015-05-01 00:00:00,186.39894853963838
2015-05-01 00:00:00,2015-06-01 00:00:00,NaN
2015-06-01 00:00:00,2015-07-01 00:00:00,NaN
2015-07-01 00:00:00,2015-08-01 00:00:00,NaN
2015-08-01 00:00:00,2015-09-01 00:00:00,NaN
2015-09-01 00:00:00,2015-10-01 00:00:00,75.31165
2015-10-01 00:00:00,2015-11-01 00:00:00,34.02417607526882
2015-11-01 00:00:00,2015-12-01 00:00:00,9.743205555555555
2015-12-01 00:00:00,2016-01-01 00:00:00,2.0246586021505375
2016-01-01 00:00:00,2016-02-01 00:00:00,6.787767473118279
2016-02-01 00:00:00,2016-03-01 00:00:00,32.13632183908046
2016-03-01 00:00:00,2016-04-01 00:00:00,86.58286559139785
2016-04-01 00:00:00,2016-05-01 00:00:00,180.33936805555555
2016-05-01 00:00:00,2016-06-01 00:00:00,203.17286559139785
2016-06-01 00:00:00,2016-07-01 00:00:00,189.7786763888889
2016-07-01 00:00:00,2016-08-01 00:00:00,141.22104704301074
2016-08-01 00:00:00,2016-09-01 00:00:00,148.60114650537633
2016-09-01 00:00:00,2016-10-01 00:00:00,93.45806805555556
2016-10-01 00:00:00,2016-11-01 00:00:00,46.290842741935485
2016-11-01 00:00:00,2016-12-01 00:00:00,9.437234722222222
2016-12-01 00:00:00,2017-01-01 00:00:00,2.4550389784946236
2017-01-01 00:00:00,2017-02-01 00:00:00,7.088103494623656
2017-02-01 00:00:00,2017-03-01 00:00:00,32.737331845238096
2017-03-01 00:00:00,2017-04-01 00:00:00,106.74096908602151
2017-04-01 00:00:00,2017-05-01 00:00:00,197.17766805555556
2017-05-01 00:00:00,2017-06-01 00:00:00,207.80984139784945
2017-06-01 00:00:00,2017-07-01 00:00:00,229.81335833333333
2017-07-01 00:00:00,2017-08-01 00:00:00,182.65147311827957
2017-08-01 00:00:00,2017-09-01 00:00:00,125.9368665703754
2017-09-01 00:00:00,2017-10-01 00:00:00,73.05246805555555
2017-10-01 00:00:00,2017-11-01 00:00:00,34.388091397849465
2017-11-01 00:00:00,2017-12-01 00:00:00,11.66938611111111
2017-12-01 00:00:00,2018-01-01 00:00:00,2.670329301075269
2018-01-01 00:00:00,2018-02-01 00:00:00,5.204236559139785
2018-02-01 00:00:00,2018-03-01 00:00:00,28.099074404761904
2018-03-01 00:00:00,2018-04-01 00:00:00,91.49443413978494
2018-04-01 00:00:00,2018-05-01 00:00:00,176.1476625
2018-05-01 00:00:00,2018-06-01 00:00:00,193.63458333333332
2018-06-01 00:00:00,2018-07-01 00:00:00,189.44605694444445
2018-07-01 00:00:00,2018-08-01 00:00:00,205.8819610215054
2018-08-01 00:00:00,2018-09-01 00:00:00,102.05784139784946
