Start of Interval (UTC-08:00),End of Interval (UTC-08:00),Average (in)
2013-08-01 00:00:00,2013-09-01 00:00:00,NaN
2013-09-01 00:00:00,2013-10-01 00:00:00,0.002597222222222222
2013-10-01 00:00:00,2013-11-01 00:00:00,0.0012365591397849463
2013-11-01 00:00:00,2013-12-01 00:00:00,0.0005
2013-12-01 00:00:00,2014-01-01 00:00:00,0.00016129032258064516
2014-01-01 00:00:00,2014-02-01 00:00:00,0.00020161290322580645
2014-02-01 00:00:00,2014-03-01 00:00:00,2.9761904761904762E-05
2014-03-01 00:00:00,2014-04-01 00:00:00,4.032258064516129E-05
2014-04-01 00:00:00,2014-05-01 00:00:00,8.333333333333333E-05
2014-05-01 00:00:00,2014-06-01 00:00:00,0.000739247311827957
2014-06-01 00:00:00,2014-07-01 00:00:00,0.005597222222222222
2014-07-01 00:00:00,2014-08-01 00:00:00,0.0029704301075268815
2014-08-01 00:00:00,2014-09-01 00:00:00,0.005120967741935484
2014-09-01 00:00:00,2014-10-01 00:00:00,0.0025
2014-10-01 00:00:00,2014-11-01 00:00:00,9.408602150537634E-05
2014-11-01 00:00:00,2014-12-01 00:00:00,0.0003333333333333333
2014-12-01 00:00:00,2015-01-01 00:00:00,0.0005241935483870967
2015-01-01 00:00:00,2015-02-01 00:00:00,0
2015-02-01 00:00:00,2015-03-01 00:00:00,0.0005654761904761905
2015-03-01 00:00:00,2015-04-01 00:00:00,0
2015-04-01 00:00:00,2015-05-01 00:00:00,9.722222222222222E-05
2015-05-01 00:00:00,2015-06-01 00:00:00,0.0005510752688172043
2015-06-01 00:00:00,2015-07-01 00:00:00,0.0017916666666666667
2015-07-01 00:00:00,2015-08-01 00:00:00,0.004112903225806452
2015-08-01 00:00:00,2015-09-01 00:00:00,0.005377358490566038
2015-09-01 00:00:00,2015-10-01 00:00:00,0.0032222222222222222
2015-10-01 00:00:00,2015-11-01 00:00:00,0.0008064516129032258
2015-11-01 00:00:00,2015-12-01 00:00:00,5.555555555555556E-05
2015-12-01 00:00:00,2016-01-01 00:00:00,1.3440860215053763E-05
2016-01-01 00:00:00,2016-02-01 00:00:00,6.720430107526882E-05
2016-02-01 00:00:00,2016-03-01 00:00:00,0
2016-03-01 00:00:00,2016-04-01 00:00:00,0.0001881720430107527
2016-04-01 00:00:00,2016-05-01 00:00:00,6.944444444444444E-05
2016-05-01 00:00:00,2016-06-01 00:00:00,0.0015456989247311828
2016-06-01 00:00:00,2016-07-01 00:00:00,0.00575
2016-07-01 00:00:00,2016-08-01 00:00:00,0.010510752688172044
2016-08-01 00:00:00,2016-09-01 00:00:00,0.0027016129032258066
2016-09-01 00:00:00,2016-10-01 00:00:00,0.0022222222222222222
2016-10-01 00:00:00,2016-11-01 00:00:00,0.00045698924731182796
2016-11-01 00:00:00,2016-12-01 00:00:00,0
2016-12-01 00:00:00,2017-01-01 00:00:00,0
2017-01-01 00:00:00,2017-02-01 00:00:00,4.032258064516129E-05
2017-02-01 00:00:00,2017-03-01 00:00:00,1.4880952380952381E-05
2017-03-01 00:00:00,2017-04-01 00:00:00,4.032258064516129E-05
2017-04-01 00:00:00,2017-05-01 00:00:00,9.722222222222222E-05
2017-05-01 00:00:00,2017-06-01 00:00:00,0.001989247311827957
2017-06-01 00:00:00,2017-07-01 00:00:00,0.0014583333333333334
2017-07-01 00:00:00,2017-08-01 00:00:00,0.005860215053763441
2017-08-01 00:00:00,2017-09-01 00:00:00,0.0030929919137466307
2017-09-01 00:00:00,2017-10-01 00:00:00,0.0020833333333333333
2017-10-01 00:00:00,2017-11-01 00:00:00,0.0014381720430107527
2017-11-01 00:00:00,2017-12-01 00:00:00,0
2017-12-01 00:00:00,2018-01-01 00:00:00,0.0004166666666666667
2018-01-01 00:00:00,2018-02-01 00:00:00,0.00045698924731182796
2018-02-01 00:00:00,2018-03-01 00:00:00,1.4880952380952381E-05
2018-03-01 00:00:00,2018-04-01 00:00:00,0.00016129032258064516
2018-04-01 00:00:00,2018-05-01 00:00:00,0.00016666666666666666
2018-05-01 00:00:00,2018-06-01 00:00:00,0.0005913978494623656
2018-06-01 00:00:00,2018-07-01 00:00:00,0.003034722222222222
2018-07-01 00:00:00,2018-08-01 00:00:00,0.0020094086021505376
2018-08-01 00:00:00,2018-09-01 00:00:00,0.00900537634408602
2018-09-01 00:00:00,2018-10-01 00:00:00,0.001625
2018-10-01 00:00:00,2018-11-01 00:00:00,0.0005241935483870967
2018-11-01 00:00:00,2018-12-01 00:00:00,0
2018-12-01 00:00:00,2019-01-01 00:00:00,0.0003091397849462366
2019-01-01 00:00:00,2019-02-01 00:00:00,0.0001881720430107527
2019-02-01 00:00:00,2019-03-01 00:00:00,2.9761904761904762E-05
2019-03-01 00:00:00,2019-04-01 00:00:00,0.00016129032258064516
2019-04-01 00:00:00,2019-05-01 00:00:00,0.00015277777777777777
2019-05-01 00:00:00,2019-06-01 00:00:00,0.001202956989247312
2019-06-01 00:00:00,2019-07-01 00:00:00,0.0044375
2019-07-01 00:00:00,2019-08-01 00:00:00,0.002540322580645161
2019-08-01 00:00:00,2019-09-01 00:00:00,0.005994623655913979
